EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Temp,Precip,CWD
soil organic matter,% soil organic matter (0-10cm),Soil carbon,1.98,0.554,5,2.85,0.881,5,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA,58.06300804,764.9017758,-173.8503314
Total soil carbon,grams of carbon per metre squared (0-20cm depth),Soil carbon,3255.8,164.868766,12,3070.4,73.36818111,12,,Festuca ovina,Elaeagnus umbellata,Baer et al 2006,Baer et al 2006a,2006,37.69027778,-89.25388889,Observational,Grassland,Terrestrial,0.43,3.5,0,1,1,NA,130.3816667,1143.861249,-284.9053235
Organic matter,percentage soil organic matter,Soil carbon,0.9,0.1,3,1.3,0.1,3,,Pleuraphis jamesii,Bromus tectorum,Belnap et al (2005),Belnap et al (2005)a,2005,38.24878,-109.873495,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1,119.4391717,220.1169066,-1376.690124
Soil Organic Carbon,,Soil carbon,6.625,0.690762461,3,5.325,0.058797686,3,,Carex lurida,Phalaris arundinacea,Bills et al (2011),Bills et al (2011)a,2011,39.279773,-86.573124,Observational,Freshwater wetland,Aquatic,1,2,0,0,1,1,114.4247153,1091.838708,-205.1353894
Total organic carbon,grams per kg of soil (0-5cm depth),Soil carbon,488.8,10.6,4,514.2,14,4,SD,Quercus robur,Quercus rubra,Bonifacio et al (2015),Bonifacio et al (2015)a,2015,45.14689,7.600758,Observational,Forest,Terrestrial,30,28,1,1,1,1,119.3611303,845.3847483,-128.3097394
Carbon concentration of soil,Percentage carbon concentration (0-10cm),Soil carbon,1.03,0.037,40,1.37,0.04,40,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006b,2006,41,-117.58,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1,84.54,246.78,-1152.774563
Carbon concentration of soil,Percentage carbon content of soil (0-10cm depth),Soil carbon,0.85,0.034,40,0.8,0.034,40,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006c,2006,40.99,-117.86,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1,93.86,220.8608,-1200.140623
Carbon concentration,% carbon content of soil (0-10cm depth),Soil carbon,0.44,0.013,40,0.48,0.022,40,,Atriplex confertifolia,Bromus tectorum,Bradley et al 2006,Bradley et al 2006a,2006,40.57,-118.34,Observational,Scrub,Terrestrial,0.6,0.65,1,0,0,1,92.7488,214.2896,-1191.14548
Organic matter,Soil percentage organic matter,Soil carbon,5.2,2.169677395,4,4.833333333,1.926136028,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1,127.41,436.0599996,-720.8500011
Soil organic matter,Percentage soil organic matter,Soil carbon,4.333333333,0.524404424,4,4.3,0.806225775,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1,127.41,436.0599996,-720.8500011
Soil Organic carbon,,Soil carbon,2.5,0.070710678,8,2.9,0.106066017,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,Observational,Forest,Terrestrial,12,1,1,0,0,0,237.05,564.74,-1059.489637
Soil Organic carbon,,Soil carbon,1.6,0.106066017,8,2,0.070710678,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,Observational,Scrub,Terrestrial,1.5,0.2,0,0,NA,NA,237.05,564.74,-1059.489637
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),Soil carbon,3.01,0.326598632,6,3.91,0.367423461,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,Observational,Wasteland,Terrestrial,0.8,2,0,0,1,1,100.8000008,801.3999932,-154.3666816
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),Soil carbon,1.48,0.065319726,6,1.8,0.220454077,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,Observational,Grassland,Terrestrial,0.7,2,0,0,1,1,101.1805671,797.3957108,-160.2375132
