ID,Dominant native,Invasive
1,Encelia farinosa,Pennisetum ciliare
2,Metrosideros polymorpha,Falcataria moluccana
3,Metrosideros polymorpha,Falcataria moluccana
4,Metrosideros polymorpha,Falcataria moluccana
5,Metrosideros polymorpha,Falcataria moluccana
6,Metrosideros polymorpha,Falcataria moluccana
7,Metrosideros polymorpha,Falcataria moluccana
8,Eleocharis smallii,Typha x glauca
9,Eleocharis smallii,Typha x glauca
10,Eleocharis smallii,Typha x glauca
11,Eleocharis smallii,Typha x glauca
12,Eleocharis smallii,Typha x glauca
13,Cupania porphyria,Ligustrum lucidum
14,Styphelia tameiameiae,Melinis minutiflora
15,Styphelia tameiameiae,Melinis minutiflora
16,Festuca ovina,Elaeagnus umbellata
17,Festuca ovina,Elaeagnus umbellata
18,Festuca ovina,Elaeagnus umbellata
19,Festuca ovina,Elaeagnus umbellata
20,Pleuraphis jamesii,Bromus tectorum
21,Pleuraphis jamesii,Bromus tectorum
22,Pleuraphis jamesii,Bromus tectorum
23,Pleuraphis jamesii,Bromus tectorum
24,Pleuraphis jamesii,Bromus tectorum
25,Carex lurida,Phalaris arundinacea
26,Carex lurida,Phalaris arundinacea
27,Krascheninnikovia lanata,Bromus tectorum
28,Krascheninnikovia lanata,Bromus tectorum
29,Krascheninnikovia lanata,Bromus tectorum
30,Krascheninnikovia lanata,Bromus tectorum
31,Quercus robur,Quercus rubra
32,Quercus robur,Quercus rubra
33,Artemisia tridentata,Bromus tectorum
34,Artemisia tridentata,Bromus tectorum
35,Artemisia tridentata,Bromus tectorum
36,Artemisia tridentata,Bromus tectorum
37,Atriplex confertifolia,Bromus tectorum
38,Atriplex confertifolia,Bromus tectorum
39,Salix caprea,Robinia pseudoacacia
40,Salix caprea,Robinia pseudoacacia
41,Grass sp,Bromus tectorum
42,Grass sp,Bromus tectorum
43,Grass sp,Bromus tectorum
44,Grass sp,Bromus tectorum
45,Grass sp,Bromus tectorum
46,Ulmus minor,Alianthis altissima
47,Ulmus minor,Alianthis altissima
48,Ulmus minor,Alianthis altissima
49,Ulmus minor,Alianthis altissima
50,Ulmus minor,Alianthis altissima
51,Ulmus minor,Alianthis altissima
52,Ulmus minor,Alianthis altissima
53,Ulmus minor,Alianthis altissima
54,Fraxinus angustifolia,Robinia pseudoacacia
55,Fraxinus angustifolia,Robinia pseudoacacia
56,Fraxinus angustifolia,Robinia pseudoacacia
57,Fraxinus angustifolia,Robinia pseudoacacia
58,Fraxinus angustifolia,Robinia pseudoacacia
59,Fraxinus angustifolia,Robinia pseudoacacia
60,Fraxinus angustifolia,Robinia pseudoacacia
61,Fraxinus angustifolia,Robinia pseudoacacia
62,Propsopis juliflora,Kalanchoe daigremontiana
63,Propsopis juliflora,Kalanchoe daigremontiana
64,Propsopis juliflora,Kalanchoe daigremontiana
65,Propsopis juliflora,Kalanchoe daigremontiana
66,Opuntia caracassana,Stapelia gigantea
67,Opuntia caracassana,Stapelia gigantea
68,Opuntia caracassana,Stapelia gigantea
69,Opuntia caracassana,Stapelia gigantea
70,Dactylis glomerata,Solidago gigantea
71,Dactylis glomerata,Solidago gigantea
72,Dactylis glomerata,Solidago gigantea
